handicapped-infants	water-project-cost-sharin	adoption-of-the-budget-re	physician-fee-freeze	el-salvador-aid	religious-groups-in-schoo	anti-satellite-test-ban	aid-to-nicaraguan-contras	mx-missile	immigration	synfuels-corporation-cutb	education-spending	superfund-right-to-sue	crime	duty-free-exports	export-administration-act	Class
n	y	n	y	y	y	n	n	n	n	y	y	n	y	n	n	democrat
y	_na	y	n	n	n	y	y	y	n	y	n	n	n	y	y	democrat
n	y	n	y	y	y	_na	_na	n	n	_na	_na	y	_na	_na	_na	republican
n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	y	republican
n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	y	republican
y	y	y	n	n	y	_na	y	y	n	y	n	y	n	y	y	democrat
y	y	y	n	y	y	y	y	y	y	y	n	y	y	n	_na	democrat
y	y	n	y	y	y	n	n	n	n	y	n	y	y	n	_na	democrat
y	y	y	n	y	y	n	y	y	y	y	n	n	n	n	y	democrat
y	y	y	y	y	y	n	n	n	n	y	y	y	y	n	y	democrat
y	y	n	n	y	y	n	n	n	n	y	y	y	y	y	n	democrat
n	_na	y	n	y	y	n	y	n	n	y	n	n	n	n	_na	democrat
y	y	y	n	y	y	n	y	y	n	y	n	n	y	n	_na	democrat
n	y	y	y	y	y	n	n	n	n	n	y	y	y	n	_na	democrat
y	n	y	n	n	n	y	y	y	_na	y	n	n	n	y	_na	democrat
_na	_na	n	n	_na	y	_na	n	n	n	y	y	n	y	n	_na	democrat
y	y	n	n	n	n	n	y	y	n	y	n	n	n	y	n	democrat
y	y	n	y	y	y	n	n	n	n	y	y	y	y	n	y	republican
_na	_na	_na	_na	n	y	n	y	y	n	n	y	y	n	n	_na	republican
y	y	_na	_na	_na	y	n	n	n	n	y	n	y	n	n	y	democrat
y	y	y	_na	n	n	n	y	n	n	y	_na	n	n	y	y	democrat
y	y	y	n	y	y	n	y	n	n	y	n	y	n	y	y	democrat
y	y	n	n	y	_na	n	n	n	n	y	n	y	y	n	y	democrat
n	y	y	n	y	y	n	y	n	n	n	n	n	n	n	y	democrat
n	y	n	y	_na	y	n	n	n	y	n	y	y	y	n	n	republican
n	y	n	y	y	y	n	_na	n	n	_na	_na	_na	y	n	_na	republican
n	y	n	y	y	y	n	n	n	y	y	y	y	y	n	n	republican
_na	n	y	y	n	y	y	y	y	y	n	y	n	y	n	y	republican
n	y	n	y	y	y	n	n	n	y	n	y	_na	y	n	n	republican
y	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y	republican
n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	y	republican
y	n	y	n	y	y	n	n	y	y	n	n	y	y	n	y	democrat
n	n	n	y	y	y	n	n	n	n	y	y	y	y	n	n	democrat
y	n	y	n	n	y	y	y	y	n	n	y	_na	y	y	y	democrat
n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n	republican
n	n	n	y	y	y	n	n	n	n	y	y	y	y	n	y	republican
y	n	y	n	n	y	y	y	y	y	y	n	n	n	n	y	democrat
n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	y	republican
y	y	y	y	y	y	y	y	n	y	_na	_na	_na	y	n	y	republican
y	y	y	n	n	n	y	y	y	n	n	n	n	n	n	y	democrat
n	y	y	n	n	y	y	y	_na	y	n	n	n	n	n	y	democrat
y	y	n	y	y	y	n	n	n	y	n	n	y	y	n	y	republican
y	y	y	n	n	n	y	y	y	y	y	n	y	n	n	y	democrat
y	y	y	n	n	n	y	y	n	y	n	n	n	n	n	y	democrat
y	y	y	n	n	n	y	y	y	n	n	n	n	n	n	y	democrat
y	y	y	y	y	y	y	y	n	y	n	n	y	y	n	y	republican
n	y	y	n	y	y	y	y	n	n	y	n	y	n	y	y	democrat
n	n	y	n	n	y	y	y	y	n	y	n	n	n	y	y	democrat
n	y	y	n	n	y	y	y	y	n	y	n	n	y	y	y	democrat
n	y	y	n	n	_na	y	y	y	y	y	n	_na	y	y	y	democrat
n	n	y	n	n	n	y	y	n	y	y	n	n	n	y	_na	democrat
y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y	democrat
n	n	n	y	y	y	y	y	n	y	n	y	y	y	n	y	republican
_na	_na	_na	n	n	n	y	y	y	y	n	n	y	n	y	y	democrat
y	n	y	n	_na	n	y	y	y	y	n	y	n	_na	y	y	democrat
n	n	y	y	y	y	n	n	y	y	n	y	y	y	n	y	republican
n	n	y	n	n	n	y	y	y	y	n	n	n	n	n	y	democrat
n	_na	n	y	y	y	n	n	n	n	y	y	y	y	n	y	republican
n	n	n	y	y	y	_na	_na	_na	_na	n	y	y	y	n	y	republican
n	y	n	y	y	y	n	n	n	y	n	y	y	y	_na	n	republican
